language,problem,status,median_ms,std_ms,peak_rss_mb,iterations,z,optimal_z
C++,afiro,OK,0.359,0.074,3.88,1,464.7531,464.753143
C++,blend,OK,22.442,0.47,4.48,23,30.8121,30.81215
C++,sc205,OK,638.076,17.18,8.89,42,52.2021,52.202061
C++-LU,afiro,OK,0.763,0.041,3.88,1,464.7531,464.753143
C++-LU,blend,OK,63.541,3.084,4.08,36,30.8121,30.81215
C++-LU,sc205,OK,2051.647,20.735,7.25,56,52.2021,52.202061
Rust,afiro,OK,0.498,0.037,2.25,1,464.7531,464.753143
Rust,blend,OK,29.507,0.547,3.0,32,30.8121,30.81215
Rust,sc205,OK,782.662,10.507,8.23,28,52.2021,52.202061
Rust-LU,afiro,OK,1.907,0.269,2.12,1,464.7531,464.753143
Rust-LU,blend,OK,194.717,2.542,2.75,36,30.8121,30.81215
Rust-LU,sc205,OK,7158.652,125.079,6.94,56,52.2021,52.202061
Go,afiro,OK,0.716,1.199,7.25,1,464.7531,464.753143
Go,blend,OK,28.343,1.08,7.71,33,30.8121,30.81215
Go,sc205,OK,377.289,29.83,13.56,45,52.2021,52.202061
Go-LU,afiro,OK,1.978,0.487,7.0,1,464.7531,464.753143
Go-LU,blend,OK,181.654,3.054,7.58,36,30.8121,30.81215
Go-LU,sc205,OK,6740.624,65.957,11.19,56,52.2021,52.202061
Python,afiro,OK,1.778,0.64,51.83,1,464.753143,464.753143
Python,blend,OK,39.365,4.61,52.88,28,30.81215,30.81215
Python,sc205,OK,445.0,108.797,61.3,52,52.202061,52.202061
Python-LU,afiro,OK,77.612,4.76,32.62,1,464.753143,464.753143
Python-LU,blend,OK,3343.947,63.864,32.62,38,30.81215,30.81215
Python-LU,sc205,ERROR,,,,,,
TypeScript,afiro,OK,5.655,2.175,99.89,1,464.753143,464.753143
TypeScript,blend,OK,256.45,37.282,155.35,27,30.81215,30.81215
TypeScript,sc205,OK,5485.476,151.068,231.71,57,52.202061,52.202061
Julia,afiro,OK,0.367,0.036,416.48,1,464.753143,464.753143
Julia,blend,OK,28.402,30.656,432.23,28,30.81215,30.81215
Julia,sc205,OK,388.897,59.881,456.91,46,52.202061,52.202061
Julia-LU,afiro,OK,5.881,1.163,452.67,1,464.753143,464.753143
Julia-LU,blend,OK,477.276,65.33,478.1,40,30.81215,30.81215
Julia-LU,sc205,OK,14801.322,307.456,511.04,36,52.202061,52.202061
